Month,Price
2019-08,"299,421.26"
2109-09,"304,778"
2019-10,"304,579"
2019-11,"306,390"
2019-12,"301,283"
2020-01,"303,653"
2020-02,"304,265"
2020-03,"304,099"
2020-04,"283,139"
2020-05,"295,744"
